avg_burst_time,burst_time_variance,avg_priority,arrival_spread,label,scheduler
6.083333333,2.059867849,6.583333333,10,SJF,SJF
6.428571429,2.381904572,7.428571429,6,SJF,SJF
5.25,2.947456531,4.125,9,SJF,SJF
3.222222222,2.528845928,4.666666667,10,SJF,SJF
7.2,2.925747768,3,8,SJF,SJF
5.444444444,2.608154354,4.944444444,10,SJF,SJF
5.444444444,3.130889512,4.333333333,10,SJF,SJF
4.8,2.785677655,2.8,6,SJF,SJF
4.857142857,2.695423181,8.428571429,10,SJF,SJF
5.785714286,2.110469529,5,9,SJF,SJF
4.166666667,2.409472049,8.666666667,6,SJF,SJF
6.0625,2.816663585,7.0625,10,SJF,SJF
6.6,2.615339366,5.2,9,SJF,SJF
6,2.951996903,4.928571429,10,SJF,SJF
5.736842105,2.446094745,5.947368421,10,SJF,SJF
6.1,3.207802986,5.6,9,SJF,SJF
4.363636364,2.637930569,6.636363636,9,SJF,SJF
4.75,1.785357107,4.375,6,SJF,SJF
6.5,3.201562119,6.666666667,10,SJF,SJF
5.466666667,2.963481436,5.8,9,SJF,SJF
5.933333333,2.669997919,6.066666667,10,SJF,SJF
5.6,3.104834939,5.9,8,SJF,SJF
6.466666667,1.783878421,6.4,10,SJF,SJF
7.428571429,3.288818409,6.714285714,5,SJF,SJF
5.928571429,3.12739704,5.5,9,SJF,SJF
6.625,2.735758579,4.5625,10,SJF,SJF
5.444444444,2.45452467,4.444444444,8,SJF,SJF
4.222222222,2.991758226,5.388888889,9,SJF,SJF
5.666666667,2.211083194,5.888888889,10,SJF,SJF
6.333333333,2.357022604,6.111111111,10,SJF,SJF
7.4,3.261901286,6.6,7,SJF,SJF
3.6,2.154065923,7.6,8,SJF,SJF
5.571428571,2.55550626,6.857142857,10,SJF,SJF
5.833333333,3.113590282,6.555555556,10,SJF,SJF
4.789473684,2.912386386,5.157894737,10,SJF,SJF
4.466666667,2.848781416,5.333333333,10,SJF,SJF
6,2.603416559,5.388888889,10,SJF,SJF
5,2.374102701,5.181818182,9,SJF,SJF
5,3.341656276,6,9,SJF,SJF
4.2,1.326649916,5.8,8,SJF,SJF
4.181818182,2.081004208,7,10,SJF,SJF
5.411764706,2.931749599,6.823529412,10,SJF,SJF
4.4,3.322649545,3.8,8,SJF,SJF
5.75,2.913331426,4.75,9,SJF,SJF
5.0625,2.794386113,4.0625,10,SJF,SJF
5.461538462,2.677983875,5.153846154,10,SJF,SJF
6.4375,2.668537755,6.6875,10,SJF,SJF
5.692307692,3.147272699,6.076923077,10,SJF,SJF
5.666666667,2.808716591,4,8,SJF,SJF
3.875,1.763341997,6.625,10,SJF,SJF
4.875,1.964529206,6,10,SJF,SJF
5.133333333,3.442221505,6.666666667,8,SJF,SJF
5.555555556,2.753224821,7.222222222,8,SJF,SJF
5.3125,3.096747285,5.375,10,SJF,SJF
5.125,2.521780125,3.5,8,SJF,SJF
3.545454545,2.016461183,3.818181818,10,SJF,SJF
4.5,2.129721645,4.714285714,10,SJF,SJF
6.277777778,2.977798507,6.722222222,9,SJF,SJF
5.470588235,2.145245003,6.529411765,8,SJF,SJF
6.125,3.407253293,6,9,SJF,SJF
6.133333333,2.445858177,6.133333333,10,SJF,SJF
5.142857143,2.559496124,4.357142857,8,SJF,SJF
5.9,2.773084925,5.4,10,SJF,SJF
4.909090909,2.466301812,4.454545455,7,SJF,SJF
6.2,2.315167381,5.4,10,SJF,SJF
5.833333333,3.236081306,6.555555556,10,SJF,SJF
4.529411765,2.78900461,5.235294118,10,SJF,SJF
6,3.251373336,5,8,SJF,SJF
6.333333333,2.718251072,5.916666667,9,SJF,SJF
6,2.976095237,6,9,SJF,SJF
5.428571429,1.989769754,4.714285714,9,SJF,SJF
4.357142857,2.868726518,6.428571429,10,SJF,SJF
4.833333333,2.114762923,5.5,8,SJF,SJF
5.222222222,1.749779528,3.777777778,7,SJF,SJF
5.4,2.576819745,5.733333333,10,SJF,SJF
5.611111111,2.383715328,7,10,SJF,SJF
6.2,2.587147722,5.4,10,SJF,SJF
5.125,2.666341126,4.5625,9,SJF,SJF
5.55,3.073678578,5.75,10,SJF,SJF
6.4,1.854723699,4.2,8,SJF,SJF
6.083333333,2.956865833,4.416666667,10,SJF,SJF
6.25,2.926174978,5.3125,8,SJF,SJF
5.2,2.521904043,4.5,8,SJF,SJF
6.5,2.519920634,5.2,10,SJF,SJF
6.333333333,3.073181486,6.166666667,10,SJF,SJF
6,3.228165521,6.736842105,9,SJF,SJF
5.75,3.096368841,5.85,10,SJF,SJF
4.909090909,2.574509502,4.181818182,10,SJF,SJF
3.909090909,1.443137079,5.727272727,9,SJF,SJF
5.769230769,3.400313247,5.538461538,9,SJF,SJF
4.166666667,1.950783318,3.5,9,SJF,SJF
5.941176471,2.577517918,5,8,SJF,SJF
5.578947368,3.031688595,5.526315789,10,SJF,SJF
6,2.236067977,6.5,8,SJF,SJF
5.111111111,1.852592445,5.555555556,6,SJF,SJF
5.166666667,2.733536578,6.166666667,6,SJF,SJF
6.8,2.6,6.9,8,SJF,SJF
5.1,2.42693222,4.3,7,SJF,SJF
5.833333333,2.544056254,3.833333333,6,SJF,SJF
4,2.449489743,6.2,5,SJF,SJF
5.473684211,2.797901865,5.157894737,10,SJF,SJF
4.666666667,3.091206165,4.166666667,8,SJF,SJF
5.75,2.453738644,4.333333333,8,SJF,SJF
6.272727273,3.440161442,6.272727273,9,SJF,SJF
5.8,2.13541565,5.8,3,SJF,SJF
5.666666667,3.144660377,5.833333333,9,SJF,SJF
5.75,2.861380786,5.375,6,SJF,SJF
4.333333333,2.788866755,5.555555556,10,SJF,SJF
7.285714286,1.749635531,6.714285714,9,SJF,SJF
5.571428571,2.920721186,5.714285714,8,SJF,SJF
7.4,1.356465997,4.4,7,SJF,SJF
5,2.144761059,5,10,SJF,SJF
